match,RF,GPM,GPM2,Poisson,Actual
Hertha BSC vs TSG 1899 Hoffenheim,"[0.0, 0.5, 0.5]","[0, 0.636, 0.364]","[0, 0.424, 0.576]","[0.334, 0.446, 0.22]","[0, 1, 0]"
SC Freiburg vs RB Leipzig,"[0.5, 0.5, 0.0]","[0, 0.455, 0.545]","[0, 0.278, 0.722]","[0.17, 0.597, 0.232]","[1, 0, 0]"
FC Schalke 04 vs Borussia Dortmund,"[0.5, 0.5, 0.0]","[0, 1, 0]","[0, 1, 0]","[0.174, 0.619, 0.207]","[0, 0, 1]"
Bayer Leverkusen vs Werder Bremen,"[0.5, 0.5, 0.0]","[0.303, 0, 0.697]","[0.328, 0, 0.672]","[0.517, 0.268, 0.215]","[0, 0, 1]"
VfL Wolfsburg vs FC Augsburg,"[1.0, 0.0, 0.0]","[0.303, 0, 0.697]","[0.328, 0, 0.672]","[0.675, 0.156, 0.169]","[0, 0, 1]"
Borussia Mönchengladbach vs Eintracht Frankfurt,"[0.5, 0.0, 0.5]","[0, 0.182, 0.818]","[0, 0.06, 0.94]","[0.462, 0.291, 0.248]","[1, 0, 0]"
Borussia Dortmund vs VfL Wolfsburg,"[1.0, 0.0, 0.0]","[0.606, 0, 0.394]","[0.57, 0, 0.43]","[0.631, 0.187, 0.182]","[1, 0, 0]"
RB Leipzig vs 1. FSV Mainz 05,"[0.5, 0.0, 0.5]","[0.455, 0, 0.545]","[0.449, 0, 0.551]","[0.731, 0.092, 0.177]","[1, 0, 0]"
Bayer Leverkusen vs Borussia Mönchengladbach,"[0.0, 1.0, 0.0]","[0.364, 0, 0.636]","[0.376, 0, 0.624]","[0.472, 0.296, 0.231]","[0, 1, 0]"
Eintracht Frankfurt vs FC Bayern,"[0.0, 1.0, 0.0]","[0, 0.758, 0.242]","[0, 0.521, 0.479]","[0.261, 0.516, 0.224]","[1, 0, 0]"
Werder Bremen vs SC Freiburg,"[0.5, 0.0, 0.5]","[0.333, 0, 0.667]","[0.352, 0, 0.648]","[0.621, 0.178, 0.2]","[0, 0, 1]"
FC Augsburg vs FC Schalke 04,"[0.0, 0.0, 1.0]","[0.455, 0, 0.545]","[0.449, 0, 0.551]","[0.505, 0.257, 0.238]","[0, 1, 0]"
Hertha BSC vs RB Leipzig,"[0.0, 1.0, 0.0]","[0, 0.364, 0.636]","[0, 0.205, 0.795]","[0.201, 0.549, 0.251]","[0, 1, 0]"
FC Schalke 04 vs Fortuna Düsseldorf,"[0.5, 0.5, 0.0]","[0, 0.424, 0.576]","[0, 0.254, 0.746]","[0.406, 0.338, 0.256]","[0, 0, 1]"
FC Bayern vs Borussia Dortmund,"[0.5, 0.5, 0.0]","[0.182, 0, 0.818]","[0.231, 0, 0.769]","[0.614, 0.198, 0.188]","[1, 0, 0]"
Borussia Mönchengladbach vs Werder Bremen,"[0.5, 0.0, 0.5]","[0, 0.061, 0.939]","[0.037, 0, 0.963]","[0.488, 0.265, 0.247]","[1, 0, 0]"
VfL Wolfsburg vs Bayer Leverkusen,"[0.5, 0.5, 0.0]","[0, 0.212, 0.788]","[0, 0.084, 0.916]","[0.469, 0.316, 0.215]","[0, 1, 0]"
SC Freiburg vs Eintracht Frankfurt,"[0.0, 1.0, 0.0]","[0, 0.455, 0.545]","[0, 0.278, 0.722]","[0.298, 0.47, 0.232]","[1, 0, 0]"
Bayer Leverkusen vs SC Freiburg,"[0.5, 0.0, 0.5]","[0.636, 0, 0.364]","[0.595, 0, 0.405]","[0.68, 0.152, 0.169]","[0, 0, 1]"
