date,team1,team2,goal1,goal2,is_finished,play_day
2019-10-26T15:30:00,SC Paderborn 07,Fortuna Düsseldorf,2,0,True,9
2019-10-26T18:30:00,Bayer Leverkusen,Werder Bremen,2,2,True,9
2019-10-27T15:30:00,VfL Wolfsburg,FC Augsburg,0,0,True,9
2019-10-27T18:00:00,Borussia Mönchengladbach,Eintracht Frankfurt,4,2,True,9
2019-11-01T20:30:00,TSG 1899 Hoffenheim,SC Paderborn 07,3,0,True,10
2019-11-02T15:30:00,Borussia Dortmund,VfL Wolfsburg,3,0,True,10
2019-11-02T15:30:00,RB Leipzig,1. FSV Mainz 05,8,0,True,10
2019-11-02T15:30:00,Bayer Leverkusen,Borussia Mönchengladbach,1,2,True,10
2019-11-02T15:30:00,Eintracht Frankfurt,FC Bayern,5,1,True,10
2019-11-02T15:30:00,Werder Bremen,SC Freiburg,2,2,True,10
2019-11-02T18:30:00,1. FC Union Berlin,Hertha BSC,1,0,True,10
2019-11-03T15:30:00,Fortuna Düsseldorf,1. FC Köln,2,0,True,10
2019-11-03T18:00:00,FC Augsburg,FC Schalke 04,2,3,True,10
2019-11-08T20:30:00,1. FC Köln,TSG 1899 Hoffenheim,1,2,True,11
2019-11-09T15:30:00,Hertha BSC,RB Leipzig,2,4,True,11
2019-11-09T15:30:00,1. FSV Mainz 05,1. FC Union Berlin,2,3,True,11
2019-11-09T15:30:00,FC Schalke 04,Fortuna Düsseldorf,3,3,True,11
2019-11-09T15:30:00,SC Paderborn 07,FC Augsburg,0,1,True,11
2019-11-09T18:30:00,FC Bayern,Borussia Dortmund,4,0,True,11
2019-11-10T13:30:00,Borussia Mönchengladbach,Werder Bremen,3,1,True,11
2019-11-10T15:30:00,VfL Wolfsburg,Bayer Leverkusen,0,2,True,11
2019-11-10T18:00:00,SC Freiburg,Eintracht Frankfurt,1,0,True,11
2019-11-22T20:30:00,Borussia Dortmund,SC Paderborn 07,3,3,True,12
2019-11-23T15:30:00,Bayer Leverkusen,SC Freiburg,1,1,True,12
2019-11-23T15:30:00,Eintracht Frankfurt,VfL Wolfsburg,0,2,True,12
2019-11-23T15:30:00,Werder Bremen,FC Schalke 04,1,2,True,12
2019-11-23T15:30:00,Fortuna Düsseldorf,FC Bayern,0,4,True,12
2019-11-23T15:30:00,1. FC Union Berlin,Borussia Mönchengladbach,2,0,True,12
2019-11-23T18:30:00,RB Leipzig,1. FC Köln,4,1,True,12
2019-11-24T15:30:00,FC Augsburg,Hertha BSC,4,0,True,12
2019-11-24T18:00:00,TSG 1899 Hoffenheim,1. FSV Mainz 05,1,5,True,12
2019-11-29T20:30:00,FC Schalke 04,1. FC Union Berlin,2,1,True,13
2019-11-30T15:30:00,TSG 1899 Hoffenheim,Fortuna Düsseldorf,1,1,True,13
2019-11-30T15:30:00,Hertha BSC,Borussia Dortmund,1,2,True,13
2019-11-30T15:30:00,1. FC Köln,FC Augsburg,1,1,True,13
2019-11-30T15:30:00,SC Paderborn 07,RB Leipzig,2,3,True,13
2019-11-30T18:30:00,FC Bayern,Bayer Leverkusen,1,2,True,13
2019-12-01T15:30:00,Borussia Mönchengladbach,SC Freiburg,4,2,True,13
2019-12-01T18:00:00,VfL Wolfsburg,Werder Bremen,2,3,True,13
2019-12-02T20:30:00,1. FSV Mainz 05,Eintracht Frankfurt,2,1,True,13
2019-12-06T20:30:00,Eintracht Frankfurt,Hertha BSC,2,2,True,14
2019-12-07T15:30:00,Borussia Dortmund,Fortuna Düsseldorf,5,0,True,14
2019-12-07T15:30:00,RB Leipzig,TSG 1899 Hoffenheim,3,1,True,14
2019-12-07T15:30:00,Borussia Mönchengladbach,FC Bayern,2,1,True,14
2019-12-07T15:30:00,SC Freiburg,VfL Wolfsburg,1,0,True,14
2019-12-07T15:30:00,FC Augsburg,1. FSV Mainz 05,2,1,True,14
2019-12-07T18:30:00,Bayer Leverkusen,FC Schalke 04,2,1,True,14
2019-12-08T15:30:00,1. FC Union Berlin,1. FC Köln,2,0,True,14
2019-12-08T18:00:00,Werder Bremen,SC Paderborn 07,0,1,True,14
2019-12-13T20:30:00,TSG 1899 Hoffenheim,FC Augsburg,2,4,True,15
2019-12-14T15:30:00,FC Bayern,Werder Bremen,6,1,True,15
2019-12-14T15:30:00,Hertha BSC,SC Freiburg,1,0,True,15
2019-12-14T15:30:00,1. FSV Mainz 05,Borussia Dortmund,0,4,True,15
2019-12-14T15:30:00,1. FC Köln,Bayer Leverkusen,2,0,True,15
2019-12-14T15:30:00,SC Paderborn 07,1. FC Union Berlin,1,1,True,15
2019-12-14T18:30:00,Fortuna Düsseldorf,RB Leipzig,0,3,True,15
2019-12-15T15:30:00,VfL Wolfsburg,Borussia Mönchengladbach,2,1,True,15
2019-12-15T18:00:00,FC Schalke 04,Eintracht Frankfurt,1,0,True,15
2019-12-17T18:30:00,Werder Bremen,1. FSV Mainz 05,0,5,True,16
2019-12-17T20:30:00,Borussia Dortmund,RB Leipzig,3,3,True,16
2019-12-17T20:30:00,FC Augsburg,Fortuna Düsseldorf,3,0,True,16
2019-12-17T20:30:00,1. FC Union Berlin,TSG 1899 Hoffenheim,0,2,True,16
2019-12-18T18:30:00,Bayer Leverkusen,Hertha BSC,0,1,True,16
2019-12-18T20:30:00,Borussia Mönchengladbach,SC Paderborn 07,2,0,True,16
2019-12-18T20:30:00,VfL Wolfsburg,FC Schalke 04,1,1,True,16
2019-12-18T20:30:00,Eintracht Frankfurt,1. FC Köln,2,4,True,16
2019-12-18T20:30:00,SC Freiburg,FC Bayern,1,3,True,16
2019-12-20T20:30:00,TSG 1899 Hoffenheim,Borussia Dortmund,2,1,True,17
2019-12-21T15:30:00,FC Bayern,VfL Wolfsburg,2,0,True,17
2019-12-21T15:30:00,RB Leipzig,FC Augsburg,3,1,True,17
2019-12-21T15:30:00,1. FSV Mainz 05,Bayer Leverkusen,0,1,True,17
2019-12-21T15:30:00,FC Schalke 04,SC Freiburg,2,2,True,17
2019-12-21T15:30:00,1. FC Köln,Werder Bremen,1,0,True,17
2019-12-21T18:30:00,Hertha BSC,Borussia Mönchengladbach,0,0,True,17
2019-12-22T15:30:00,Fortuna Düsseldorf,1. FC Union Berlin,2,1,True,17
2019-12-22T18:00:00,SC Paderborn 07,Eintracht Frankfurt,2,1,True,17
